gender,NationalITy,Level,SectionID,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,HighSchool,A,F,Father,Yes,Good,Under-7,M
M,KW,HighSchool,A,F,Father,No,Bad,Above-7,L
F,NONKW,MiddleSchool,B,F,Mum,Yes,Bad,Under-7,H
M,KW,MiddleSchool,A,F,Father,Yes,Bad,Under-7,L
M,KW,lowerlevel,A,F,Father,No,Bad,Above-7,L
M,KW,lowerlevel,B,F,Father,Yes,Good,Above-7,L
M,KW,lowerlevel,B,F,Father,No,Good,Above-7,M
M,KW,lowerlevel,B,F,Father,Yes,Good,Above-7,H
M,KW,lowerlevel,B,F,Father,No,Bad,Above-7,L
M,NONKW,lowerlevel,B,F,Father,Yes,Good,Under-7,H
M,KW,lowerlevel,B,F,Father,No,Bad,Under-7,L
F,KW,lowerlevel,B,F,Father,No,Bad,Under-7,L
M,KW,lowerlevel,B,F,Father,Yes,Good,Above-7,L
M,KW,lowerlevel,B,F,Father,Yes,Good,Above-7,L
M,KW,lowerlevel,B,F,Father,Yes,Good,Under-7,H
F,KW,lowerlevel,B,F,Father,Yes,Good,Under-7,H
M,NONKW,lowerlevel,B,F,Father,Yes,Good,Under-7,H
F,KW,lowerlevel,B,F,Father,No,Good,Above-7,L
F,KW,lowerlevel,B,F,Father,No,Bad,Under-7,H
F,KW,lowerlevel,C,F,Father,Yes,Good,Under-7,H
F,KW,lowerlevel,B,F,Father,No,Bad,Under-7,M
F,KW,lowerlevel,C,F,Father,No,Bad,Under-7,M
M,KW,lowerlevel,B,F,Father,Yes,Bad,Above-7,M
M,KW,lowerlevel,B,F,Father,Yes,Bad,Under-7,M
F,KW,lowerlevel,B,F,Mum,Yes,Good,Under-7,H
F,KW,lowerlevel,B,F,Father,No,Bad,Above-7,L
M,KW,lowerlevel,B,F,Father,No,Bad,Above-7,L
M,KW,lowerlevel,B,F,Father,Yes,Good,Above-7,M
F,KW,lowerlevel,B,F,Father,Yes,Good,Above-7,L
F,KW,lowerlevel,B,F,Father,Yes,Good,Under-7,M
M,KW,lowerlevel,B,F,Father,Yes,Bad,Under-7,H
M,NONKW,lowerlevel,B,F,Father,No,Bad,Above-7,M
M,KW,lowerlevel,B,F,Father,No,Bad,Under-7,M
F,NONKW,lowerlevel,B,F,Mum,Yes,Good,Under-7,H
M,KW,lowerlevel,C,F,Father,No,Good,Under-7,M
M,KW,lowerlevel,B,F,Father,No,Bad,Above-7,L
M,KW,lowerlevel,B,F,Father,No,Bad,Above-7,L
M,KW,lowerlevel,B,F,Father,No,Bad,Above-7,L
M,KW,lowerlevel,B,F,Father,Yes,Good,Above-7,L
F,KW,lowerlevel,C,F,Mum,Yes,Good,Above-7,M
F,KW,lowerlevel,C,F,Mum,No,Good,Under-7,H
F,KW,lowerlevel,C,F,Mum,Yes,Good,Above-7,M
M,KW,lowerlevel,C,F,Father,No,Bad,Under-7,M
M,KW,lowerlevel,C,F,Mum,Yes,Good,Under-7,M
M,KW,lowerlevel,C,F,Mum,No,Bad,Above-7,L
F,KW,lowerlevel,B,F,Father,Yes,Good,Above-7,M
F,NONKW,lowerlevel,B,F,Father,Yes,Good,Under-7,M
M,KW,lowerlevel,C,F,Father,Yes,Bad,Under-7,L
M,KW,lowerlevel,B,F,Father,No,Good,Above-7,L
F,NONKW,lowerlevel,C,F,Father,Yes,Good,Under-7,M
M,KW,lowerlevel,B,F,Father,No,Bad,Above-7,L
M,KW,lowerlevel,C,F,Father,No,Bad,Under-7,L
M,KW,lowerlevel,B,F,Father,Yes,Good,Under-7,L
F,KW,lowerlevel,C,F,Father,No,Bad,Above-7,L
M,NONKW,lowerlevel,C,F,Father,Yes,Good,Under-7,M
M,KW,lowerlevel,C,S,Father,No,Bad,Above-7,L
M,KW,lowerlevel,A,S,Father,Yes,Good,Above-7,L
M,KW,MiddleSchool,A,S,Father,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
F,KW,HighSchool,A,S,Mum,Yes,Good,Under-7,H
F,KW,HighSchool,A,F,Mum,No,Bad,Under-7,M
F,NONKW,MiddleSchool,A,F,Mum,No,Bad,Under-7,H
M,NONKW,MiddleSchool,A,F,Mum,No,Bad,Under-7,M
M,NONKW,MiddleSchool,A,F,Father,Yes,Bad,Above-7,L
M,NONKW,MiddleSchool,A,S,Father,No,Bad,Above-7,L
M,NONKW,MiddleSchool,A,S,Father,Yes,Good,Under-7,M
M,KW,MiddleSchool,A,S,Father,Yes,Good,Under-7,H
M,KW,MiddleSchool,A,S,Father,No,Bad,Above-7,L
M,NONKW,MiddleSchool,A,S,Father,Yes,Bad,Under-7,M
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Father,No,Bad,Under-7,M
F,NONKW,MiddleSchool,A,S,Father,No,Bad,Under-7,M
F,NONKW,MiddleSchool,A,S,Mum,Yes,Bad,Under-7,H
M,NONKW,HighSchool,A,S,Father,Yes,Good,Under-7,H
M,NONKW,HighSchool,A,S,Father,Yes,Good,Under-7,M
F,NONKW,HighSchool,B,S,Father,Yes,Bad,Under-7,H
M,NONKW,HighSchool,B,S,Father,No,Bad,Above-7,L
M,NONKW,HighSchool,B,S,Father,No,Bad,Above-7,M
M,NONKW,HighSchool,B,S,Father,Yes,Bad,Under-7,H
F,NONKW,HighSchool,B,S,Father,Yes,Good,Under-7,M
M,NONKW,HighSchool,B,S,Father,No,Good,Under-7,M
M,NONKW,MiddleSchool,B,S,Father,No,Bad,Above-7,L
F,KW,MiddleSchool,B,S,Father,Yes,Good,Under-7,M
F,NONKW,MiddleSchool,B,S,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,B,S,Mum,No,Bad,Under-7,M
F,NONKW,lowerlevel,B,S,Mum,No,Bad,Under-7,H
F,NONKW,lowerlevel,B,S,Mum,No,Bad,Above-7,M
M,NONKW,lowerlevel,B,S,Mum,Yes,Good,Above-7,M
F,NONKW,lowerlevel,B,S,Mum,Yes,Good,Under-7,H
M,KW,lowerlevel,B,S,Mum,No,Bad,Under-7,M
M,NONKW,lowerlevel,B,S,Mum,Yes,Good,Under-7,H
M,KW,lowerlevel,B,S,Mum,Yes,Good,Under-7,H
M,KW,lowerlevel,B,S,Mum,No,Bad,Under-7,M
M,KW,lowerlevel,B,S,Father,Yes,Good,Under-7,H
M,KW,lowerlevel,B,S,Mum,No,Good,Under-7,M
M,NONKW,lowerlevel,B,S,Mum,No,Good,Above-7,L
M,NONKW,lowerlevel,B,S,Mum,Yes,Good,Above-7,L
F,NONKW,lowerlevel,B,S,Father,Yes,Bad,Above-7,M
M,NONKW,lowerlevel,B,S,Father,No,Bad,Above-7,L
M,NONKW,lowerlevel,B,S,Mum,Yes,Bad,Under-7,H
F,NONKW,lowerlevel,B,S,Mum,Yes,Bad,Under-7,M
F,NONKW,lowerlevel,B,S,Mum,Yes,Bad,Under-7,H
M,NONKW,lowerlevel,B,S,Mum,No,Bad,Under-7,M
F,NONKW,lowerlevel,B,S,Father,Yes,Bad,Under-7,H
M,NONKW,lowerlevel,B,S,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,A,S,Mum,Yes,Bad,Under-7,H
F,NONKW,MiddleSchool,A,S,Father,No,Bad,Under-7,M
M,NONKW,MiddleSchool,A,S,Mum,No,Bad,Above-7,L
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
M,KW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,M
F,KW,MiddleSchool,A,S,Father,Yes,Good,Under-7,M
M,KW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
F,KW,MiddleSchool,A,S,Father,No,Bad,Under-7,M
M,KW,MiddleSchool,A,S,Father,No,Bad,Under-7,L
M,KW,MiddleSchool,A,S,Father,Yes,Good,Above-7,L
M,KW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,S,Mum,No,Bad,Under-7,M
M,NONKW,MiddleSchool,A,S,Mum,No,Bad,Under-7,M
M,KW,MiddleSchool,A,S,Father,Yes,Good,Under-7,M
M,KW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
M,KW,MiddleSchool,A,S,Mum,No,Bad,Under-7,H
M,NONKW,MiddleSchool,B,S,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,B,S,Father,No,Bad,Under-7,M
M,KW,MiddleSchool,B,S,Mum,Yes,Bad,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
M,KW,MiddleSchool,B,S,Father,Yes,Good,Under-7,M
F,KW,MiddleSchool,B,S,Father,Yes,Bad,Under-7,M
M,NONKW,MiddleSchool,B,S,Father,No,Bad,Above-7,L
F,NONKW,MiddleSchool,B,S,Mum,Yes,Bad,Above-7,H
M,KW,MiddleSchool,B,S,Father,Yes,Good,Under-7,M
M,KW,MiddleSchool,C,S,Father,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,C,S,Mum,No,Bad,Under-7,M
M,KW,MiddleSchool,C,S,Father,No,Bad,Under-7,M
M,NONKW,MiddleSchool,C,S,Mum,Yes,Good,Under-7,H
M,KW,MiddleSchool,C,S,Father,No,Bad,Under-7,M
M,NONKW,MiddleSchool,C,S,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,C,S,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,C,S,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,C,S,Father,No,Good,Above-7,L
M,NONKW,MiddleSchool,C,S,Mum,Yes,Bad,Above-7,M
F,NONKW,MiddleSchool,C,S,Father,Yes,Good,Under-7,M
M,KW,MiddleSchool,C,S,Mum,Yes,Bad,Under-7,H
M,KW,MiddleSchool,C,S,Mum,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,C,S,Father,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,C,S,Father,No,Good,Under-7,M
M,KW,MiddleSchool,B,S,Father,Yes,Bad,Under-7,M
M,KW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
M,KW,MiddleSchool,B,S,Mum,Yes,Bad,Under-7,H
M,KW,MiddleSchool,A,S,Mum,No,Bad,Under-7,M
M,KW,MiddleSchool,B,S,Father,No,Bad,Under-7,L
M,KW,MiddleSchool,A,S,Father,Yes,Good,Under-7,L
M,KW,HighSchool,B,S,Mum,Yes,Good,Above-7,H
M,KW,MiddleSchool,A,S,Father,No,Bad,Above-7,L
M,NONKW,MiddleSchool,A,S,Mum,No,Bad,Above-7,M
M,NONKW,MiddleSchool,A,S,Father,Yes,Good,Above-7,L
M,NONKW,MiddleSchool,A,F,Father,Yes,Good,Above-7,M
F,NONKW,MiddleSchool,B,S,Mum,Yes,Good,Above-7,M
M,KW,MiddleSchool,B,S,Mum,Yes,Good,Above-7,M
M,KW,MiddleSchool,B,S,Father,No,Bad,Above-7,L
M,NONKW,MiddleSchool,B,S,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,B,S,Father,Yes,Good,Above-7,M
F,KW,MiddleSchool,B,S,Mum,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,B,S,Mum,Yes,Good,Under-7,H
M,KW,MiddleSchool,B,S,Mum,Yes,Bad,Under-7,H
M,NONKW,MiddleSchool,B,S,Father,Yes,Good,Under-7,M
M,KW,MiddleSchool,B,S,Father,No,Bad,Above-7,L
M,NONKW,MiddleSchool,B,S,Father,No,Bad,Above-7,M
M,KW,MiddleSchool,B,S,Mum,Yes,Bad,Under-7,H
F,KW,MiddleSchool,A,S,Father,Yes,Bad,Under-7,M
F,KW,MiddleSchool,A,S,Father,Yes,Good,Under-7,H
F,KW,MiddleSchool,A,S,Father,No,Bad,Above-7,M
F,KW,MiddleSchool,A,S,Father,No,Bad,Above-7,L
M,KW,lowerlevel,A,S,Father,No,Good,Above-7,M
M,KW,lowerlevel,A,S,Father,Yes,Good,Under-7,H
M,NONKW,lowerlevel,A,S,Mum,No,Good,Above-7,L
F,KW,lowerlevel,A,S,Father,No,Bad,Under-7,M
M,KW,lowerlevel,A,S,Father,No,Bad,Above-7,L
M,KW,lowerlevel,A,S,Father,Yes,Good,Under-7,H
M,KW,lowerlevel,A,S,Father,Yes,Good,Under-7,H
F,KW,lowerlevel,A,S,Mum,No,Good,Under-7,H
F,KW,lowerlevel,A,S,Father,No,Good,Under-7,M
F,KW,lowerlevel,A,S,Father,Yes,Good,Under-7,M
M,KW,lowerlevel,A,S,Mum,No,Bad,Above-7,L
M,KW,lowerlevel,A,S,Father,No,Bad,Above-7,L
M,KW,lowerlevel,A,S,Father,Yes,Bad,Above-7,M
F,KW,lowerlevel,A,S,Mum,Yes,Good,Above-7,M
M,NONKW,lowerlevel,A,S,Mum,No,Bad,Above-7,M
F,NONKW,MiddleSchool,A,F,Mum,No,Bad,Under-7,M
F,NONKW,MiddleSchool,A,S,Mum,No,Bad,Under-7,H
M,NONKW,MiddleSchool,A,F,Father,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,A,S,Father,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,A,F,Father,Yes,Bad,Above-7,M
M,NONKW,MiddleSchool,A,S,Father,Yes,Bad,Above-7,M
F,NONKW,MiddleSchool,A,F,Mum,No,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,No,Good,Under-7,M
M,NONKW,MiddleSchool,A,F,Father,No,Bad,Under-7,M
M,NONKW,MiddleSchool,A,S,Father,No,Bad,Under-7,H
F,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Mum,No,Good,Under-7,M
M,NONKW,MiddleSchool,A,S,Mum,No,Good,Under-7,M
M,NONKW,MiddleSchool,A,F,Mum,No,Good,Under-7,H
M,NONKW,MiddleSchool,A,S,Mum,No,Good,Under-7,H
F,NONKW,MiddleSchool,A,F,Mum,No,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,No,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Father,No,Bad,Above-7,M
M,NONKW,MiddleSchool,A,S,Father,Yes,Bad,Above-7,M
F,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,M
F,NONKW,lowerlevel,A,F,Father,No,Bad,Above-7,L
F,NONKW,lowerlevel,A,S,Father,No,Bad,Above-7,L
F,NONKW,lowerlevel,A,F,Mum,Yes,Good,Under-7,H
F,NONKW,lowerlevel,A,S,Mum,Yes,Good,Under-7,H
M,NONKW,lowerlevel,A,F,Father,Yes,Good,Above-7,M
M,NONKW,lowerlevel,A,S,Father,Yes,Good,Above-7,M
F,NONKW,lowerlevel,A,F,Mum,No,Good,Under-7,H
F,NONKW,lowerlevel,A,S,Mum,No,Good,Under-7,H
M,NONKW,lowerlevel,A,F,Father,No,Good,Above-7,M
M,NONKW,lowerlevel,A,S,Father,No,Good,Above-7,M
M,NONKW,lowerlevel,A,F,Father,No,Bad,Above-7,L
M,NONKW,lowerlevel,A,S,Father,No,Bad,Above-7,L
F,NONKW,lowerlevel,B,F,Mum,No,Bad,Under-7,M
F,NONKW,lowerlevel,B,S,Mum,No,Bad,Under-7,M
F,NONKW,lowerlevel,B,F,Father,Yes,Bad,Under-7,M
F,NONKW,lowerlevel,B,S,Father,Yes,Bad,Under-7,M
M,NONKW,lowerlevel,B,F,Mum,Yes,Good,Under-7,H
M,NONKW,lowerlevel,B,S,Mum,Yes,Good,Under-7,H
M,NONKW,lowerlevel,B,F,Mum,Yes,Good,Above-7,M
M,NONKW,lowerlevel,B,S,Mum,Yes,Good,Above-7,M
M,NONKW,lowerlevel,B,F,Father,No,Good,Above-7,M
M,NONKW,lowerlevel,B,S,Father,No,Good,Above-7,M
F,NONKW,lowerlevel,B,F,Mum,Yes,Good,Under-7,H
F,NONKW,lowerlevel,B,S,Mum,Yes,Good,Under-7,H
F,NONKW,lowerlevel,B,F,Mum,Yes,Good,Under-7,H
F,NONKW,lowerlevel,B,S,Mum,Yes,Good,Under-7,H
M,NONKW,lowerlevel,A,F,Mum,Yes,Good,Under-7,H
M,NONKW,lowerlevel,A,S,Mum,Yes,Good,Under-7,H
F,NONKW,lowerlevel,A,F,Mum,Yes,Good,Under-7,H
F,NONKW,lowerlevel,A,S,Mum,Yes,Good,Under-7,H
F,NONKW,lowerlevel,A,F,Mum,Yes,Good,Above-7,M
F,NONKW,lowerlevel,A,S,Mum,Yes,Good,Above-7,M
M,NONKW,lowerlevel,A,F,Father,No,Bad,Above-7,L
M,NONKW,lowerlevel,A,S,Father,No,Bad,Above-7,L
M,NONKW,lowerlevel,A,F,Father,No,Bad,Under-7,M
M,NONKW,lowerlevel,A,S,Father,No,Bad,Under-7,M
M,NONKW,lowerlevel,A,F,Father,No,Bad,Above-7,L
M,NONKW,lowerlevel,A,S,Father,No,Bad,Above-7,L
F,NONKW,lowerlevel,A,F,Mum,Yes,Good,Under-7,M
F,NONKW,lowerlevel,A,S,Mum,Yes,Good,Under-7,M
M,NONKW,lowerlevel,A,F,Father,No,Good,Above-7,L
M,NONKW,lowerlevel,A,S,Father,No,Good,Above-7,L
F,NONKW,lowerlevel,A,F,Mum,No,Good,Under-7,M
F,NONKW,lowerlevel,A,S,Mum,No,Good,Under-7,M
M,NONKW,lowerlevel,A,F,Mum,No,Good,Above-7,L
M,NONKW,lowerlevel,A,S,Mum,No,Good,Above-7,L
F,NONKW,lowerlevel,A,F,Mum,No,Good,Under-7,M
F,NONKW,lowerlevel,A,S,Mum,No,Good,Under-7,M
F,NONKW,lowerlevel,B,F,Father,No,Good,Under-7,M
F,NONKW,lowerlevel,B,S,Father,No,Good,Under-7,M
F,NONKW,lowerlevel,B,F,Father,No,Good,Under-7,M
F,NONKW,lowerlevel,B,S,Father,No,Good,Under-7,M
M,NONKW,lowerlevel,B,F,Mum,No,Bad,Under-7,M
M,NONKW,lowerlevel,B,S,Mum,No,Bad,Under-7,M
F,NONKW,lowerlevel,B,F,Mum,No,Good,Under-7,H
F,NONKW,lowerlevel,B,F,Mum,No,Good,Under-7,H
F,NONKW,lowerlevel,B,S,Mum,No,Good,Under-7,H
F,NONKW,lowerlevel,B,S,Mum,No,Good,Under-7,H
M,NONKW,lowerlevel,B,F,Mum,No,Good,Above-7,L
M,NONKW,lowerlevel,B,S,Mum,No,Good,Above-7,L
M,NONKW,lowerlevel,B,F,Mum,No,Good,Above-7,L
M,NONKW,lowerlevel,B,S,Mum,No,Good,Above-7,L
F,NONKW,lowerlevel,B,F,Mum,Yes,Good,Under-7,M
F,NONKW,lowerlevel,B,S,Mum,Yes,Good,Under-7,M
M,NONKW,lowerlevel,B,F,Mum,Yes,Good,Under-7,H
M,NONKW,lowerlevel,B,S,Mum,Yes,Good,Under-7,H
M,NONKW,lowerlevel,B,F,Father,Yes,Good,Under-7,M
M,NONKW,lowerlevel,B,S,Father,Yes,Good,Under-7,M
F,NONKW,lowerlevel,B,F,Mum,Yes,Good,Under-7,H
F,NONKW,lowerlevel,B,S,Mum,Yes,Good,Under-7,H
M,NONKW,lowerlevel,A,F,Father,Yes,Good,Above-7,M
M,NONKW,lowerlevel,A,S,Father,Yes,Good,Above-7,M
M,NONKW,lowerlevel,A,F,Father,Yes,Good,Under-7,H
M,NONKW,lowerlevel,A,S,Father,Yes,Good,Under-7,H
M,NONKW,lowerlevel,A,F,Father,Yes,Good,Under-7,H
M,NONKW,lowerlevel,A,S,Father,Yes,Good,Under-7,H
M,NONKW,lowerlevel,A,F,Father,Yes,Good,Above-7,M
M,NONKW,lowerlevel,A,S,Father,Yes,Good,Above-7,M
F,NONKW,lowerlevel,A,F,Mum,No,Good,Under-7,H
F,NONKW,lowerlevel,A,S,Mum,No,Good,Under-7,H
M,NONKW,lowerlevel,A,F,Father,No,Bad,Under-7,M
M,NONKW,lowerlevel,A,S,Father,No,Bad,Under-7,M
F,NONKW,lowerlevel,A,F,Father,No,Bad,Above-7,L
F,NONKW,lowerlevel,A,S,Father,No,Bad,Above-7,L
M,NONKW,lowerlevel,B,F,Father,No,Bad,Above-7,L
M,NONKW,lowerlevel,B,S,Father,No,Bad,Above-7,L
M,NONKW,lowerlevel,B,F,Mum,Yes,Bad,Above-7,M
M,NONKW,lowerlevel,B,S,Mum,Yes,Bad,Above-7,M
M,NONKW,lowerlevel,B,F,Father,Yes,Bad,Above-7,L
M,NONKW,lowerlevel,B,S,Father,Yes,Bad,Above-7,L
F,NONKW,lowerlevel,B,F,Father,No,Bad,Above-7,L
F,NONKW,lowerlevel,B,S,Father,No,Bad,Above-7,L
M,NONKW,lowerlevel,B,F,Mum,Yes,Good,Under-7,H
M,NONKW,lowerlevel,B,S,Mum,Yes,Good,Under-7,H
F,NONKW,lowerlevel,B,F,Mum,Yes,Good,Under-7,H
F,NONKW,lowerlevel,B,S,Mum,Yes,Good,Under-7,H
M,NONKW,lowerlevel,B,F,Mum,Yes,Good,Under-7,M
M,NONKW,lowerlevel,B,S,Mum,Yes,Good,Under-7,M
M,NONKW,lowerlevel,B,F,Mum,No,Good,Above-7,L
M,NONKW,lowerlevel,B,S,Mum,No,Good,Above-7,L
F,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Above-7,M
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Above-7,M
F,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Father,Yes,Bad,Under-7,M
M,NONKW,MiddleSchool,A,S,Father,Yes,Bad,Under-7,M
M,NONKW,MiddleSchool,A,F,Father,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,S,Father,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Father,No,Good,Above-7,M
M,NONKW,MiddleSchool,A,S,Father,No,Good,Above-7,M
M,NONKW,MiddleSchool,A,F,Father,No,Good,Under-7,H
